dob,name,representative,address,phone,ownerId,licensePlate,brand,model,manufactureDate,certId,certDate,regionId,version,usePurpose,isCompany
1963-09-26,Phạm Quang Đăng,,Rạch Giá,781650870,11,11A-00011,Kia,Ranger,2019-09-05,PUWLV8PNVY,2027-09-05,11,7,Công vụ,0
1997-10-08,Phạm Minh Duy,,Hạ Long,510333134,12,11A-00012,Nissan,Sentra,2007-12-04,GT85GUO72E,2012-12-04,11,3,Du lịch,0
2000-01-24,Đinh Đăng Tùng,,Hải Dương,605107014,13,11A-00013,Land Rover,Cruze,2004-05-02,Z9YZTJRWJ7,2014-05-02,11,3,Công vụ,0
2001-07-27,Trịnh Hoàng Tùng,,Hưng Yên,776139660,14,11A-00014,Tesla,Sentra,2011-11-28,7E3CW17G34,2013-11-28,11,1,Đi làm,0
1999-08-27,Phạm Văn Hùng,,Nam Định,792185002,15,11A-00015,Ford,Ranger,2019-05-04,5D7Q6E7DBP,2024-05-04,11,6,Kinh doanh,0
1996-09-13,Phạm Đăng Linh,,Thành phố Hồ Chí Minh,98324073,16,11A-00016,Nissan,Soul,2001-02-06,62C5CEN3VH,2010-02-06,11,5,Chuyển hàng,0
1995-08-31,Đinh Văn Tùng,,Thành phố Hồ Chí Minh,242871782,17,11A-00017,Lamborghini,Camry,2002-06-18,MON8DYGAL0,2010-06-18,11,6,Du lịch,0
1993-09-04,Phạm Đăng Minh,,Cần Thơ,249403431,18,11A-00018,Ferrari,Elantra,2019-07-20,3GWH0IDQ2N,2022-07-20,11,3,Chuyển hàng,0
2004-06-03,Lê Hà Ân,,Hạ Long,615149583,19,11A-00019,Tesla,Sentra,2017-05-22,EOCA2TLBS3,2020-05-22,11,9,Kinh doanh,0
1992-05-26,Trịnh Hoàng Duy,,Thành phố Hồ Chí Minh,42510459,20,11A-00020,Hyundai,Cruze,2013-11-02,GX2PU1GCP7,2017-11-02,11,1,Chuyển hàng,0
1973-12-31,Lê Xuân Hiếu,,Hải Phòng,419147116,1,12B-00001,Nissan,CX-5,2022-11-12,4ZM3SRGMBC,2025-11-12,12,5,Đi học,0
1966-07-06,Vũ Đắc Khiêm,,Đà Lạt,950585561,2,12B-00002,Lamborghini,Camry,2013-08-13,AZJJH6577A,2017-08-13,12,9,Kinh doanh,0
1979-10-09,Trịnh Quang Đức,,Quy Nhơn,749113680,3,12B-00003,Hyundai,Civic,2011-11-18,SP523DKWSQ,2021-11-18,12,9,Đi làm,0
2002-04-17,Nguyễn Minh Linh,,Hải Phòng,820487391,4,12B-00004,Porsche,CX-5,2017-12-13,FQ5BZWA1Y7,2025-12-13,12,7,Chuyển hàng,0
1988-06-21,Lê Đắc Tùng,,Phan Thiết,117080888,5,12B-00005,Audi,Soul,2001-11-22,AXJUJP9J4G,2010-11-22,12,3,Công vụ,0
1984-11-20,Lê Đăng Đức,,Thái Nguyên,876458883,6,12B-00006,Mercedes,Elantra,2004-04-08,9LWKOA330J,2014-04-08,12,10,Đi học,0
2003-03-27,Nguyễn Xuân Ân,,Hạ Long,133409556,7,12B-00007,Lexus,Elantra,2000-12-14,ETLOI58DPZ,2000-12-14,12,3,Đi làm,0
1972-01-27,Lê Đắc Đức,,Hưng Yên,234846268,8,12B-00008,Hyundai,Elantra,2010-05-12,5NQ6P756LQ,2016-05-12,12,9,Đi học,0
2004-04-30,Lê Việt Hùng,,Hà Nội,663740043,9,12B-00009,Ferrari,Cruze,2003-01-04,M8JRF3SN4R,2011-01-04,12,9,Kinh doanh,0
1975-11-08,Trịnh Đăng Hiếu,,Hà Nội,413951110,10,12B-00010,Hyundai,Soul,2020-11-07,N33HFR0SNE,2021-11-07,12,5,Đi học,0
1973-12-31,Lê Xuân Hiếu,,Hải Phòng,419147116,1,14C-00001,Chevrolet,CX-5,2013-02-14,70Y3WAN8CL,2017-02-14,14,8,Công vụ,0
